cliente_id,dias_mora,monto_vencido,tramo_mora,prob_pago,ultima_gestion
5180,59,1239.71,31-60 dias,0.56,Visita
5918,10,1019.6,1-30 dias,0.88,Sin gestion
3217,99,4070.99,90+ dias,0.29,Email
4768,33,15190.52,31-60 dias,0.73,SMS
204,176,16646.32,90+ dias,0.05,Email
4228,66,39744.26,61-90 dias,0.51,Llamada
7528,75,31488.94,61-90 dias,0.45,Llamada
2820,121,5985.69,90+ dias,0.14,Visita
2855,121,5105.84,90+ dias,0.14,Sin gestion
2638,33,3339.06,31-60 dias,0.73,Visita
2544,27,24051.32,1-30 dias,0.77,SMS
3133,80,3195.12,61-90 dias,0.42,Email
6082,32,20878.7,31-60 dias,0.74,Sin gestion
5800,114,27837.86,90+ dias,0.19,Email
4737,75,30162.74,61-90 dias,0.45,Acuerdo
2110,54,841.61,31-60 dias,0.59,Llamada
7241,171,4722.07,90+ dias,0.05,Sin gestion
5900,115,24021.71,90+ dias,0.18,Acuerdo
4122,34,58929.39,31-60 dias,0.72,Email
7527,53,42630.61,31-60 dias,0.6,Sin gestion
3117,164,14430.36,90+ dias,0.05,Visita
6635,37,13111.24,31-60 dias,0.7,Sin gestion
902,179,55006.23,90+ dias,0.05,Llamada
633,50,4486.24,31-60 dias,0.62,Llamada
1060,18,3342.67,1-30 dias,0.83,SMS
2348,57,16218.02,31-60 dias,0.57,Visita
1327,167,10792.25,90+ dias,0.05,SMS
704,51,2894.14,31-60 dias,0.61,Llamada
6500,23,8406.82,1-30 dias,0.8,Email
7714,118,8049.57,90+ dias,0.16,Visita
7447,174,8796.27,90+ dias,0.05,Acuerdo
7393,66,1603.63,61-90 dias,0.51,SMS
6570,70,4311.78,61-90 dias,0.48,SMS
1860,178,8342.43,90+ dias,0.05,SMS
407,151,10461.43,90+ dias,0.05,Acuerdo
5428,135,31376.68,90+ dias,0.05,Visita
3728,146,19981.43,90+ dias,0.05,SMS
5569,113,981.38,90+ dias,0.2,Email
3859,2,502.85,1-30 dias,0.94,Llamada
5693,79,8281.48,61-90 dias,0.42,Llamada
257,92,6430.27,90+ dias,0.34,Llamada
3189,76,9321.59,61-90 dias,0.44,Acuerdo
3217,105,6878.15,90+ dias,0.25,Sin gestion
2305,87,6355.01,61-90 dias,0.37,Acuerdo
4975,96,3887.67,90+ dias,0.31,Sin gestion
4876,58,6044.06,31-60 dias,0.56,Email
996,40,9010.62,31-60 dias,0.68,Email
7630,59,19744.75,31-60 dias,0.56,Acuerdo
7642,138,26700.6,90+ dias,0.05,Acuerdo
49,177,2974.47,90+ dias,0.05,Acuerdo
2025,36,10718.32,31-60 dias,0.71,Email
2581,143,2627.75,90+ dias,0.05,Acuerdo
2651,174,7048.36,90+ dias,0.05,Email
1862,120,3948.32,90+ dias,0.15,Sin gestion
3902,146,741.32,90+ dias,0.05,Email
4065,129,2359.78,90+ dias,0.09,Llamada
4584,86,6090.95,61-90 dias,0.38,Sin gestion
1014,14,861.51,1-30 dias,0.86,Email
3824,78,5762.55,61-90 dias,0.43,Visita
4919,154,33124.31,90+ dias,0.05,Email
5292,8,6418.97,1-30 dias,0.9,Visita
5745,25,26265.88,1-30 dias,0.78,SMS
2066,35,36179.82,31-60 dias,0.72,Acuerdo
6958,57,42844.49,31-60 dias,0.57,Acuerdo
7013,39,7770.63,31-60 dias,0.69,Sin gestion
4056,11,20336.92,1-30 dias,0.88,Sin gestion
7994,85,30774.56,61-90 dias,0.38,Visita
5211,37,34860.21,31-60 dias,0.7,Visita
3647,171,25193.08,90+ dias,0.05,Acuerdo
89,157,3252.22,90+ dias,0.05,SMS
5550,65,22782.63,61-90 dias,0.52,Acuerdo
4081,24,2234.77,1-30 dias,0.79,Acuerdo
7548,31,10564.77,31-60 dias,0.74,Llamada
6396,180,15653.44,90+ dias,0.05,SMS
7304,72,1539.79,61-90 dias,0.47,Visita
3670,140,2193.97,90+ dias,0.05,Visita
6024,178,4249.84,90+ dias,0.05,Sin gestion
5055,38,5052.61,31-60 dias,0.7,Visita
7608,75,13385.43,61-90 dias,0.45,Sin gestion
3527,176,52372.31,90+ dias,0.05,Email
572,145,4982.66,90+ dias,0.05,Visita
2627,120,49390.77,90+ dias,0.15,Sin gestion
3772,109,22733.69,90+ dias,0.22,Sin gestion
823,131,19544.55,90+ dias,0.08,Sin gestion
3133,82,3439.46,61-90 dias,0.4,Acuerdo
5934,70,2591.39,61-90 dias,0.48,SMS
1534,58,21215.9,31-60 dias,0.56,Visita
3414,163,2228.74,90+ dias,0.05,SMS
2645,80,10606.53,61-90 dias,0.42,SMS
537,105,28150.74,90+ dias,0.25,Llamada
2633,147,22024.83,90+ dias,0.05,Email
1341,56,5377.03,31-60 dias,0.58,Acuerdo
456,82,20366.63,61-90 dias,0.4,SMS
3950,21,26907.48,1-30 dias,0.81,Visita
6359,22,8195.76,1-30 dias,0.8,Acuerdo
3377,125,1780.95,90+ dias,0.12,SMS
4591,168,4844.63,90+ dias,0.05,Acuerdo
6899,70,31724.33,61-90 dias,0.48,SMS
909,70,2875.64,61-90 dias,0.48,Visita
7096,3,8334.74,1-30 dias,0.93,SMS
6261,133,3088.82,90+ dias,0.06,Visita
6651,151,17596.43,90+ dias,0.05,Acuerdo
3130,5,18796.29,1-30 dias,0.92,Llamada
795,23,6178.36,1-30 dias,0.8,Visita
1822,41,5336.62,31-60 dias,0.68,Visita
6879,26,9296.78,1-30 dias,0.78,Llamada
596,103,7235.91,90+ dias,0.26,SMS
2306,164,29611.35,90+ dias,0.05,Llamada
5082,55,48835.94,31-60 dias,0.58,Llamada
1870,11,27016.69,1-30 dias,0.88,Visita
4660,152,3360.56,90+ dias,0.05,Llamada
4581,3,1650.09,1-30 dias,0.93,Llamada
5480,89,19032.76,61-90 dias,0.36,SMS
43,39,3121.55,31-60 dias,0.69,Email
4996,34,5097.38,31-60 dias,0.72,Sin gestion
4813,87,14995.16,61-90 dias,0.37,Visita
5752,120,3513.73,90+ dias,0.15,Sin gestion
4359,121,49031.9,90+ dias,0.14,Visita
6790,119,12076.39,90+ dias,0.16,Acuerdo
2496,71,31381.34,61-90 dias,0.48,Sin gestion
7577,98,23951.67,90+ dias,0.3,Llamada
1199,145,23045.91,90+ dias,0.05,Llamada
2737,82,19523.11,61-90 dias,0.4,SMS
7591,28,7270.71,1-30 dias,0.76,Email
1973,115,26049.07,90+ dias,0.18,Llamada
1196,44,43272.13,31-60 dias,0.66,SMS
4812,41,888.6,31-60 dias,0.68,Acuerdo
714,25,1578.1,1-30 dias,0.78,Acuerdo
1260,27,39946.29,1-30 dias,0.77,Email
3066,113,2695.68,90+ dias,0.2,Visita
3506,126,2085.08,90+ dias,0.11,Acuerdo
5043,62,31459.26,61-90 dias,0.54,Sin gestion
4764,144,45080.57,90+ dias,0.05,Sin gestion
5328,103,25612.28,90+ dias,0.26,Sin gestion
7576,94,901.78,90+ dias,0.32,Sin gestion
1035,147,5420.61,90+ dias,0.05,Sin gestion
6013,22,25796.6,1-30 dias,0.8,Email
3632,92,978.65,90+ dias,0.34,Visita
4441,83,3060.44,61-90 dias,0.4,Acuerdo
7021,160,24066.23,90+ dias,0.05,Visita
1600,91,2422.65,90+ dias,0.34,Acuerdo
6233,115,24498.23,90+ dias,0.18,Acuerdo
5212,57,2890.26,31-60 dias,0.57,Visita
2365,106,28607.51,90+ dias,0.24,Sin gestion
2152,110,14317.09,90+ dias,0.22,Visita
6747,169,16648.07,90+ dias,0.05,Sin gestion
2332,48,8813.19,31-60 dias,0.63,Sin gestion
6612,180,46867.12,90+ dias,0.05,Visita
4521,157,9263.39,90+ dias,0.05,SMS
937,51,32919.23,31-60 dias,0.61,SMS
7189,7,4154.82,1-30 dias,0.9,Acuerdo
4577,52,6159.87,31-60 dias,0.6,Sin gestion
544,14,17590.78,1-30 dias,0.86,Visita
7104,106,10086.98,90+ dias,0.24,Sin gestion
5001,176,16762.75,90+ dias,0.05,Sin gestion
345,151,25578.0,90+ dias,0.05,Email
3121,23,9314.89,1-30 dias,0.8,Acuerdo
7316,21,27090.03,1-30 dias,0.81,Llamada
1276,132,44581.09,90+ dias,0.07,Visita
3013,17,43514.11,1-30 dias,0.84,Email
6070,21,41823.38,1-30 dias,0.81,Email
1988,83,21510.31,61-90 dias,0.4,SMS
6734,112,21406.33,90+ dias,0.2,Llamada
7809,48,18468.71,31-60 dias,0.63,Visita
4371,17,10779.52,1-30 dias,0.84,Sin gestion
3723,52,48108.87,31-60 dias,0.6,Acuerdo
7772,96,12070.02,90+ dias,0.31,Sin gestion
4450,150,33094.32,90+ dias,0.05,SMS
5368,167,6173.66,90+ dias,0.05,Llamada
5249,21,5033.62,1-30 dias,0.81,Llamada
6507,71,3339.99,61-90 dias,0.48,Visita
622,108,25000.18,90+ dias,0.23,Acuerdo
3127,79,6449.04,61-90 dias,0.42,Llamada
4640,80,2197.3,61-90 dias,0.42,SMS
1807,103,15287.23,90+ dias,0.26,Llamada
6455,169,45652.3,90+ dias,0.05,Visita
4350,64,1626.18,61-90 dias,0.52,Visita
549,51,29375.67,31-60 dias,0.61,Email
35,127,32975.13,90+ dias,0.1,SMS
1399,53,33250.82,31-60 dias,0.6,SMS
4742,115,26224.51,90+ dias,0.18,Email
5493,110,15843.46,90+ dias,0.22,Llamada
3819,24,2249.54,1-30 dias,0.79,Email
360,161,21533.06,90+ dias,0.05,Email
7310,77,30017.47,61-90 dias,0.44,Email
5461,114,3952.19,90+ dias,0.19,Email
3366,120,2566.46,90+ dias,0.15,Email
1790,117,16378.22,90+ dias,0.17,SMS
3670,10,18805.5,1-30 dias,0.88,Sin gestion
4985,133,1315.72,90+ dias,0.06,Sin gestion
4307,6,35043.33,1-30 dias,0.91,Email
7974,72,13384.54,61-90 dias,0.47,Acuerdo
7128,170,6724.97,90+ dias,0.05,Llamada
1117,89,8861.07,61-90 dias,0.36,Acuerdo
2018,101,14317.02,90+ dias,0.28,Acuerdo
2789,118,30007.39,90+ dias,0.16,Email
7483,56,13681.93,31-60 dias,0.58,Sin gestion
1355,105,34126.49,90+ dias,0.25,Llamada
7059,102,7113.73,90+ dias,0.27,Acuerdo
1290,160,2030.68,90+ dias,0.05,Llamada
4481,2,15576.93,1-30 dias,0.94,Visita
7534,119,20869.36,90+ dias,0.16,Email
962,13,3455.6,1-30 dias,0.86,Acuerdo
7758,147,3062.07,90+ dias,0.05,Email
4721,127,23519.01,90+ dias,0.1,Llamada
1517,125,18671.27,90+ dias,0.12,Visita
3354,91,35011.41,90+ dias,0.34,Sin gestion
7310,175,3525.23,90+ dias,0.05,Acuerdo
942,120,3127.91,90+ dias,0.15,Visita
693,121,25426.59,90+ dias,0.14,SMS
15,160,14208.88,90+ dias,0.05,Sin gestion
217,54,11233.65,31-60 dias,0.59,Email
4452,107,20505.26,90+ dias,0.24,SMS
6711,89,37448.27,61-90 dias,0.36,Visita
3841,90,49496.72,61-90 dias,0.35,Email
4589,27,3510.08,1-30 dias,0.77,SMS
2564,8,48611.67,1-30 dias,0.9,Sin gestion
2779,149,4839.43,90+ dias,0.05,Visita
4888,146,12690.68,90+ dias,0.05,SMS
3415,107,10821.8,90+ dias,0.24,SMS
2023,100,6631.52,90+ dias,0.28,SMS
7470,12,1056.97,1-30 dias,0.87,Sin gestion
2799,73,30464.5,61-90 dias,0.46,Visita
2367,15,57031.23,1-30 dias,0.85,Visita
3567,131,14861.4,90+ dias,0.08,Sin gestion
3436,131,17866.79,90+ dias,0.08,Visita
5619,58,5735.87,31-60 dias,0.56,Visita
5310,93,593.04,90+ dias,0.33,SMS
5459,59,2385.76,31-60 dias,0.56,SMS
1658,136,6809.7,90+ dias,0.05,Visita
6460,157,17739.16,90+ dias,0.05,Visita
7044,163,6164.18,90+ dias,0.05,Sin gestion
5012,133,21443.17,90+ dias,0.06,Acuerdo
5463,18,5910.31,1-30 dias,0.83,SMS
2110,93,4153.53,90+ dias,0.33,Visita
1405,137,2982.24,90+ dias,0.05,Llamada
2067,9,10680.31,1-30 dias,0.89,Visita
12,168,1891.56,90+ dias,0.05,Visita
3344,92,9693.69,90+ dias,0.34,Llamada
7343,177,29491.85,90+ dias,0.05,Acuerdo
1643,67,1326.63,61-90 dias,0.5,Visita
4779,178,29886.57,90+ dias,0.05,Sin gestion
49,93,2951.2,90+ dias,0.33,Acuerdo
4732,19,29325.75,1-30 dias,0.82,Llamada
1053,140,10485.94,90+ dias,0.05,Acuerdo
7005,121,4259.46,90+ dias,0.14,Sin gestion
5092,148,6098.5,90+ dias,0.05,Llamada
179,95,9628.01,90+ dias,0.32,Email
5330,124,40939.9,90+ dias,0.12,Acuerdo
3394,60,1561.2,31-60 dias,0.55,Sin gestion
2496,38,3591.84,31-60 dias,0.7,Llamada
5277,96,708.76,90+ dias,0.31,Visita
5117,27,10308.26,1-30 dias,0.77,SMS
7518,176,12721.22,90+ dias,0.05,Acuerdo
4805,88,26110.5,61-90 dias,0.36,Visita
285,2,564.41,1-30 dias,0.94,Sin gestion
1770,66,7283.57,61-90 dias,0.51,Visita
5512,96,27715.34,90+ dias,0.31,Email
790,121,7937.86,90+ dias,0.14,Visita
918,138,17672.12,90+ dias,0.05,SMS
5956,72,37795.76,61-90 dias,0.47,Email
7531,56,1288.9,31-60 dias,0.58,Acuerdo
241,150,33721.22,90+ dias,0.05,Llamada
2026,142,23864.68,90+ dias,0.05,Llamada
7973,63,52094.59,61-90 dias,0.53,Acuerdo
3477,157,15821.58,90+ dias,0.05,Visita
45,129,3883.36,90+ dias,0.09,Llamada
1712,43,965.65,31-60 dias,0.66,SMS
1171,156,10391.49,90+ dias,0.05,Visita
1354,144,10104.73,90+ dias,0.05,Acuerdo
6203,169,4842.78,90+ dias,0.05,Visita
478,78,18600.69,61-90 dias,0.43,Visita
1595,126,5897.14,90+ dias,0.11,Acuerdo
6959,168,1246.73,90+ dias,0.05,Sin gestion
7743,151,1380.27,90+ dias,0.05,Acuerdo
6452,41,5069.18,31-60 dias,0.68,Sin gestion
