tarjeta_id,cliente_id,tipo_tarjeta,limite_credito,saldo_actual,fecha_emision,estatus
0,7108,Platino,121246,88658.94,2024-04-02,Cancelada
1,883,Signature,217867,141744.12,2022-12-17,Vigente
2,5589,Oro,50000,41064.72,2023-05-18,Bloqueada
3,1763,Clasica,14172,11426.24,2025-01-29,Bloqueada
4,1573,Signature,194189,76972.28,2025-07-08,Vigente
5,7540,Oro,35401,14012.48,2023-08-10,Vigente
6,5854,Oro,41498,30567.59,2026-03-24,Vigente
7,616,Oro,45494,15818.29,2026-08-29,Cancelada
8,3509,Oro,33381,13999.38,2024-12-01,Vigente
9,3768,Signature,276629,128120.82,2023-11-24,Bloqueada
10,2274,Signature,263909,140953.62,2025-09-27,Vigente
11,1195,Signature,246329,125327.12,2023-09-03,Bloqueada
12,1618,Signature,268301,25502.9,2024-04-05,Bloqueada
13,2438,Platino,118892,84878.68,2023-05-30,Cancelada
14,2975,Clasica,14629,4868.95,2024-05-23,Cancelada
15,6424,Platino,86386,31112.61,2025-06-17,Vigente
16,5342,Clasica,17017,12768.48,2025-07-20,Cancelada
17,2829,Oro,53380,15756.33,2023-08-26,Cancelada
18,4423,Signature,214539,11967.75,2024-01-28,Bloqueada
19,3750,Platino,104164,11602.01,2026-05-06,Cancelada
20,1000,Clasica,17840,11975.56,2025-09-28,Vigente
21,1724,Oro,55136,41948.42,2025-01-20,Bloqueada
22,3994,Platino,114044,94222.75,2023-04-19,Vigente
23,3067,Platino,108709,53901.0,2024-12-30,Cancelada
24,6729,Oro,44797,25673.41,2024-09-10,Cancelada
25,861,Oro,45943,24743.25,2022-12-16,Bloqueada
26,907,Signature,260580,177946.1,2025-05-17,Cancelada
27,2234,Signature,193978,68005.78,2026-01-18,Vigente
28,6303,Clasica,15446,2397.35,2024-02-24,Bloqueada
29,6174,Oro,43530,16832.9,2022-08-10,Bloqueada
30,1400,Signature,188668,129990.96,2025-02-12,Vigente
31,3304,Oro,33563,14738.05,2025-06-04,Vigente
32,1010,Platino,75850,2975.47,2024-11-27,Vigente
33,3669,Platino,80529,67846.14,2022-09-17,Vigente
34,3749,Platino,111116,91328.35,2026-05-17,Bloqueada
35,5404,Signature,185367,92492.93,2023-07-08,Bloqueada
36,3054,Oro,53083,17444.62,2024-09-02,Vigente
37,5561,Clasica,15884,5310.42,2022-12-03,Vigente
38,2082,Signature,166009,52843.8,2023-10-27,Vigente
39,2684,Oro,52704,8168.75,2026-01-19,Vigente
40,6154,Platino,74822,58946.51,2025-04-02,Bloqueada
41,2446,Signature,237605,23294.84,2025-07-22,Bloqueada
42,20,Clasica,17925,14014.94,2022-10-17,Vigente
43,4395,Oro,49604,35753.63,2025-12-18,Cancelada
44,3432,Clasica,19511,8705.62,2024-09-25,Bloqueada
45,7131,Signature,256435,121634.73,2023-05-23,Bloqueada
46,3470,Clasica,12725,1175.61,2025-09-16,Vigente
47,7838,Platino,99402,33563.82,2025-03-05,Bloqueada
48,5057,Clasica,18687,1525.68,2023-12-03,Vigente
49,1797,Signature,172212,116887.85,2023-10-16,Vigente
50,6879,Signature,275128,9009.77,2025-02-16,Vigente
51,6862,Clasica,12904,7777.69,2025-03-07,Cancelada
