transaccion_id,tarjeta_id,fecha,monto,categoria,canal,ciudad,es_fraude
0,5931,2026-06-15,3287.93,Gasolina,E-commerce,Medellin,true
1,6527,2026-06-25,607.33,Educacion,ATM,Guadalajara,false
2,7097,2026-08-13,203.7,Servicios,E-commerce,CDMX,false
3,3336,2026-08-06,3894.56,Supermercado,POS,Monterrey,false
4,9371,2026-08-22,429.65,Supermercado,E-commerce,Guadalajara,false
5,8733,2026-08-22,3438.31,Entretenimiento,App movil,Monterrey,false
6,2343,2026-07-05,4482.72,Retail,App movil,Medellin,false
7,2403,2026-08-02,1920.12,Servicios,App movil,Medellin,false
8,2590,2026-07-11,186.85,Retail,App movil,Medellin,false
9,2030,2026-08-30,1941.5,Viajes,ATM,CDMX,false
10,235,2026-08-22,3326.97,Educacion,E-commerce,Guadalajara,false
11,6409,2026-07-21,4389.16,Gasolina,E-commerce,Bogota,false
12,242,2026-08-26,51.31,Viajes,App movil,Medellin,false
13,7761,2026-06-26,1622.14,Servicios,Recurrente,CDMX,false
14,5054,2026-07-06,401.73,Gasolina,E-commerce,CDMX,false
15,1182,2026-06-26,4195.59,Retail,E-commerce,CDMX,false
16,5888,2026-06-23,601.8,Restaurantes,App movil,Puebla,false
17,7188,2026-06-28,1733.88,Restaurantes,E-commerce,Bogota,false
18,9538,2026-06-15,680.14,Restaurantes,Recurrente,Medellin,false
19,4193,2026-07-13,1975.5,Retail,App movil,Guadalajara,false
20,456,2026-07-06,1508.38,Salud,E-commerce,Bogota,false
21,9866,2026-08-25,264.23,Restaurantes,App movil,Medellin,false
22,9179,2026-08-25,1372.45,Retail,Recurrente,Guadalajara,false
23,3068,2026-07-19,1089.98,Restaurantes,App movil,Monterrey,false
24,396,2026-06-07,752.7,Gasolina,POS,Guadalajara,false
25,3116,2026-08-02,4602.2,Restaurantes,E-commerce,Monterrey,false
26,3093,2026-07-23,2580.52,Gasolina,Recurrente,Medellin,false
27,9966,2026-08-27,1163.46,Servicios,E-commerce,Medellin,false
28,3665,2026-06-28,642.77,Gasolina,ATM,CDMX,false
29,4159,2026-07-22,6674.6,Supermercado,POS,Bogota,false
30,5440,2026-06-17,1171.47,Viajes,ATM,Monterrey,false
31,8274,2026-08-16,1232.89,Servicios,App movil,Monterrey,false
32,9368,2026-08-05,228.54,Educacion,ATM,Medellin,false
33,8103,2026-08-24,1206.14,Supermercado,E-commerce,Medellin,false
34,3364,2026-08-01,694.71,Gasolina,E-commerce,Bogota,false
35,8138,2026-07-09,3054.61,Retail,Recurrente,Bogota,false
36,5596,2026-08-06,701.73,Educacion,ATM,Puebla,true
37,2542,2026-08-17,1931.54,Salud,E-commerce,Medellin,false
38,878,2026-08-28,2317.01,Salud,ATM,Puebla,false
39,4677,2026-07-02,307.97,Gasolina,ATM,Medellin,false
40,6772,2026-07-11,928.14,Restaurantes,App movil,Guadalajara,false
41,126,2026-07-26,4627.41,Educacion,Recurrente,Monterrey,false
42,1067,2026-07-13,156.86,Viajes,E-commerce,Guadalajara,false
43,2657,2026-08-31,2065.62,Salud,ATM,Guadalajara,false
44,6470,2026-07-04,496.22,Entretenimiento,App movil,CDMX,false
45,5558,2026-07-23,1369.53,Supermercado,Recurrente,Puebla,false
46,2886,2026-08-03,1165.4,Supermercado,App movil,Guadalajara,false
47,2277,2026-07-17,4537.39,Educacion,ATM,Puebla,false
48,5281,2026-07-16,147.44,Retail,POS,CDMX,false
49,2445,2026-08-18,1125.48,Servicios,ATM,Medellin,false
50,8505,2026-07-26,1084.94,Retail,ATM,Medellin,false
51,539,2026-09-03,3599.78,Salud,Recurrente,Monterrey,false
52,3571,2026-06-12,126.83,Supermercado,App movil,Monterrey,false
53,4999,2026-07-30,5183.87,Retail,E-commerce,CDMX,false
54,6231,2026-06-22,2047.73,Entretenimiento,App movil,Medellin,false
55,8040,2026-07-17,1546.13,Entretenimiento,App movil,Guadalajara,false
56,9702,2026-07-12,981.86,Gasolina,E-commerce,Bogota,false
57,1536,2026-07-03,2880.84,Restaurantes,App movil,Puebla,false
58,5310,2026-08-05,1929.62,Entretenimiento,POS,CDMX,false
59,8312,2026-08-24,980.97,Educacion,App movil,CDMX,false
60,816,2026-08-03,2120.62,Educacion,Recurrente,Monterrey,false
61,7693,2026-08-18,3990.49,Servicios,E-commerce,Puebla,false
62,4282,2026-06-27,122.16,Servicios,E-commerce,Monterrey,false
63,2134,2026-06-26,558.86,Gasolina,ATM,Guadalajara,false
64,5646,2026-08-14,3275.94,Viajes,E-commerce,Medellin,false
65,6317,2026-08-08,5003.71,Retail,ATM,Guadalajara,false
66,7061,2026-07-31,6194.41,Supermercado,Recurrente,Puebla,false
67,4354,2026-07-20,3224.89,Viajes,ATM,Monterrey,false
68,361,2026-06-20,4579.82,Educacion,Recurrente,Medellin,false
69,1887,2026-08-29,3109.87,Retail,Recurrente,Puebla,false
70,610,2026-08-19,452.24,Viajes,POS,Puebla,false
71,4985,2026-07-13,1186.68,Restaurantes,ATM,Medellin,false
72,8803,2026-08-08,715.99,Supermercado,ATM,Monterrey,false
73,1836,2026-09-01,2695.54,Educacion,Recurrente,Monterrey,false
74,6541,2026-07-13,3517.61,Educacion,App movil,Bogota,false
75,1303,2026-06-12,1542.47,Salud,App movil,Medellin,false
76,8485,2026-06-30,323.13,Supermercado,Recurrente,Medellin,false
77,9947,2026-08-07,4945.7,Gasolina,POS,Bogota,false
78,4695,2026-08-06,3883.6,Restaurantes,App movil,Monterrey,false
79,870,2026-07-26,5485.02,Viajes,Recurrente,Bogota,false
80,9241,2026-08-04,1557.14,Educacion,E-commerce,Monterrey,false
81,2490,2026-07-12,817.58,Gasolina,App movil,Medellin,false
82,8921,2026-07-22,1374.46,Gasolina,POS,Monterrey,false
83,6647,2026-07-13,1918.06,Restaurantes,ATM,Puebla,false
84,2268,2026-08-06,2611.25,Supermercado,Recurrente,Guadalajara,false
85,4890,2026-07-10,969.18,Gasolina,E-commerce,Guadalajara,false
86,1346,2026-06-21,657.61,Viajes,App movil,CDMX,false
87,6915,2026-06-28,330.51,Gasolina,App movil,Guadalajara,false
88,9000,2026-07-22,176.32,Entretenimiento,Recurrente,Medellin,false
89,1826,2026-06-12,1945.65,Salud,App movil,Monterrey,false
90,6381,2026-07-23,1134.69,Restaurantes,ATM,Puebla,false
91,2476,2026-06-28,869.76,Gasolina,Recurrente,Puebla,false
92,5605,2026-06-12,406.75,Gasolina,POS,CDMX,false
93,5320,2026-08-06,416.89,Salud,E-commerce,CDMX,false
94,8710,2026-07-12,5635.09,Educacion,App movil,Monterrey,false
95,6090,2026-06-13,1144.51,Gasolina,ATM,Monterrey,false
96,5992,2026-07-16,989.34,Supermercado,ATM,Bogota,false
97,3453,2026-06-16,2053.74,Salud,ATM,Guadalajara,false
98,6697,2026-06-15,907.9,Supermercado,POS,Medellin,false
99,111,2026-07-08,4189.11,Restaurantes,App movil,CDMX,false
100,3931,2026-08-16,5606.26,Supermercado,App movil,Bogota,false
101,147,2026-06-24,2130.87,Gasolina,POS,Medellin,false
102,166,2026-08-17,6620.19,Supermercado,E-commerce,Medellin,false
103,4997,2026-07-29,4010.38,Restaurantes,POS,Monterrey,false
104,4937,2026-06-06,594.18,Educacion,ATM,Medellin,false
105,5207,2026-06-30,204.92,Gasolina,App movil,Medellin,false
106,9626,2026-06-09,5451.61,Educacion,App movil,Guadalajara,false
107,7908,2026-07-17,3763.7,Servicios,E-commerce,CDMX,false
108,3374,2026-08-14,906.71,Viajes,E-commerce,Puebla,false
109,9619,2026-07-29,2429.46,Servicios,Recurrente,Medellin,false
110,6177,2026-07-16,2863.47,Viajes,Recurrente,Guadalajara,false
111,8094,2026-07-11,2707.33,Entretenimiento,App movil,Puebla,false
112,892,2026-07-10,3763.58,Retail,E-commerce,Monterrey,false
113,8500,2026-08-13,629.97,Viajes,App movil,Monterrey,false
114,4236,2026-08-20,98.78,Servicios,App movil,Guadalajara,false
115,5445,2026-06-16,1504.39,Gasolina,POS,CDMX,false
116,9139,2026-06-09,154.83,Supermercado,App movil,Bogota,false
117,4227,2026-06-29,5015.29,Entretenimiento,ATM,Monterrey,false
118,4356,2026-07-03,2073.11,Educacion,App movil,CDMX,false
119,369,2026-07-22,4961.1,Viajes,Recurrente,Monterrey,false
